panel,model,condition_id,horizon,endpoint,cumulative
A,mlp_koopman,A_h00_p01,62,0.7334448143293675,0.2885658047417985
A,mlp_koopman,A_h00_p01,63,0.7612936510181901,0.3019072150746454
A,mlp_koopman,A_h00_p01,64,0.790826855509353,0.3154294940480184
A,mlp_koopman,A_h00_p01,65,0.8200236248769737,0.32910526142023455
A,mlp_koopman,A_h00_p01,66,0.8482351191138507,0.3428859375776075
A,mlp_koopman,A_h00_p01,67,0.8740628410721831,0.35667737875586825
A,mlp_koopman,A_h00_p01,68,0.9011167273575215,0.37052561582691224
A,mlp_koopman,A_h00_p01,69,0.9286964985631928,0.38444661832093135
A,mlp_koopman,A_h00_p01,70,0.9563595879990779,0.3984392519194176
A,mlp_koopman,A_h00_p01,71,0.9802057549578921,0.41237156677436265
A,mlp_koopman,A_h00_p01,72,0.9966422356284423,0.4260097105504884
A,mlp_koopman,A_h00_p01,73,1.0147386312893227,0.43943553738343705
A,mlp_koopman,A_h00_p01,74,1.035664291798463,0.4527567616450887
A,mlp_koopman,A_h00_p01,75,1.0616978660980878,0.4661382493754825
A,mlp_koopman,A_h00_p01,76,1.0978868666542207,0.4798810246846934
A,mlp_koopman,A_h00_p01,77,1.134189294273205,0.49396495474866803
A,mlp_koopman,A_h00_p01,78,1.1721632908217243,0.5084172621640558
A,mlp_koopman,A_h00_p01,79,1.2112003700276204,0.5232454600882452
A,mlp_koopman,A_h00_p01,80,1.2461566425149375,0.5383073644120278
A,mlp_koopman,A_h00_p01,81,1.2777378624508247,0.5534917168635156
A,mlp_koopman,A_h00_p01,82,1.310403539029087,0.5688215992633501
A,mlp_koopman,A_h00_p01,83,1.3404131131245716,0.5842146853342317
A,mlp_koopman,A_h00_p01,84,1.3675687824387028,0.5995902237123069
A,mlp_koopman,A_h00_p01,85,1.3934119359485366,0.614915637240439
A,mlp_koopman,A_h00_p01,86,1.4230447464826865,0.6302948906453385
A,mlp_koopman,A_h00_p01,87,1.459143539741526,0.6458929637892192
A,mlp_koopman,A_h00_p01,88,1.5025144579323608,0.661884460141823
A,mlp_koopman,A_h00_p01,89,1.5403304507095898,0.6781056668527031
A,mlp_koopman,A_h00_p01,90,1.578515191968358,0.6945529297761305
A,mlp_koopman,A_h00_p01,91,1.6212669647163458,0.7113278565459027
A,mlp_koopman,A_h00_p01,92,1.66604514362244,0.7284628880681855
A,mlp_koopman,A_h00_p01,93,1.709655456000268,0.7459098094256171
A,mlp_koopman,A_h00_p01,94,1.7502762640097613,0.7635787888223935
A,mlp_koopman,A_h00_p01,95,1.7834355383810068,0.7812781942235217
A,mlp_koopman,A_h00_p01,96,1.8147866653303941,0.7989643963290064
A,mlp_koopman,A_h00_p01,97,1.8435135406326646,0.8165780775809832
A,mlp_koopman,A_h00_p01,98,1.8811103075051931,0.8343282303087337
A,mlp_koopman,A_h00_p01,99,1.9228747336294192,0.8523028794790548
A,mlp_koopman,A_h00_p01,100,1.9601578150783077,0.8703896730687531
A,mlp_koopman,A_h00_p02,1,0.001711890027592478,0.001711890027592478
A,mlp_koopman,A_h00_p02,2,0.009475263643120506,0.006808494274551894
A,mlp_koopman,A_h00_p02,3,0.01168944173705727,0.00874364982329592
A,mlp_koopman,A_h00_p02,4,0.014151270154633152,0.010363550111890704
